ticker,company,source_type,source_url,source_http_status,source_final_url,source_error,vendor_profile,vendor_recommendation,archive_pages_seen,candidate_links_seen,q4_feed_candidates_seen,rss_candidates_seen,wordpress_candidates_seen,source_index,accepted_documents,rejected_candidates_checked
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,200,https://about.americanexpress.com/newsroom/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,11,0,0
AXP,American Express,earnings_results_archive,https://ir.americanexpress.com/financials/,200,https://ir.americanexpress.com/financials/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,5,5,0,0,12,1,1
BA,Boeing,press_releases_archive,https://investors.boeing.com/investors/news/default.aspx,200,https://investors.boeing.com/investors/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,13,1,0
BA,Boeing,company_news_archive,https://boeing.mediaroom.com/news-releases-statements,200,https://boeing.mediaroom.com/news-releases-statements,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,14,0,0
BA,Boeing,earnings_results_archive,https://investors.boeing.com/investors/financial-reports/default.aspx,200,https://investors.boeing.com/investors/financial-reports/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,15,1,1
CAT,Caterpillar,press_releases_archive,https://investors.caterpillar.com/news/default.aspx,200,https://investors.caterpillar.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,16,1,0
CAT,Caterpillar,company_news_archive,https://www.caterpillar.com/en/news/corporate-press-releases.html,200,https://www.caterpillar.com/en/news/corporate-press-releases.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,17,0,0
CAT,Caterpillar,earnings_results_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,200,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,18,1,1
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,200,https://investor.salesforce.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,19,1,0
CRM,Salesforce,investor_relations,https://investor.salesforce.com/overview/default.aspx,200,https://investor.salesforce.com/overview/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,20,1,1
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,200,https://investor.salesforce.com/financials/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,21,1,2
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,200,https://investor.cisco.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,22,1,0
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,23,0,0
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,200,https://investor.cisco.com/financials/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,24,1,1
CVX,Chevron,company_news_archive,https://chevroncorp.gcs-web.com/news-releases,200,https://chevroncorp.gcs-web.com/news-releases,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,0,0,0,25,0,0
CVX,Chevron,press_releases_archive,https://chevroncorp.gcs-web.com/news-releases,200,https://chevroncorp.gcs-web.com/news-releases,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,0,0,0,26,0,0
CVX,Chevron,investor_relations,https://chevroncorp.gcs-web.com/,200,https://chevroncorp.gcs-web.com/,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,0,0,0,27,0,0
DIS,Walt Disney,company_news_archive,https://thewaltdisneycompany.com/news/,200,https://thewaltdisneycompany.com/news/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,28,0,0
DIS,Walt Disney,investor_relations,https://thewaltdisneycompany.com/investor-relations/,200,https://thewaltdisneycompany.com/investor-relations/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,29,0,0
DIS,Walt Disney,earnings_results_archive,https://thewaltdisneycompany.com/investor-relations/,200,https://thewaltdisneycompany.com/investor-relations/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,30,0,0
GS,Goldman Sachs,company_news_archive,https://www.goldmansachs.com/pressroom,200,https://www.goldmansachs.com/pressroom,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,31,0,0
GS,Goldman Sachs,press_releases_archive,https://www.goldmansachs.com/pressroom/,200,https://www.goldmansachs.com/pressroom/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,32,0,0
GS,Goldman Sachs,earnings_results_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,200,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,33,0,0
HD,Home Depot,press_releases_archive,https://ir.homedepot.com/news-releases,200,https://ir.homedepot.com/news-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,34,0,0
HD,Home Depot,company_news_archive,https://corporate.homedepot.com/page/newsroom,200,https://corporate.homedepot.com/page/newsroom,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,35,0,0
HD,Home Depot,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings,200,https://ir.homedepot.com/financial-reports/quarterly-earnings,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,36,0,0
HON,Honeywell,press_releases_archive,https://www.honeywell.com/newsroom/pressreleases/?page=1,200,https://www.honeywell.com/newsroom/pressreleases/?page=1,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,37,0,0
HON,Honeywell,company_news_archive,https://www.honeywell.com/us/en/news,200,https://www.honeywell.com/us/en/news,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,38,0,0
HON,Honeywell,earnings_results_archive,https://honeywell.gcs-web.com/financial-information/quarterly-results,200,https://honeywell.gcs-web.com/financial-information/quarterly-results,,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,0,0,0,39,0,0
IBM,IBM,company_news_archive,https://newsroom.ibm.com/announcements,200,https://newsroom.ibm.com/announcements,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,40,0,0
IBM,IBM,investor_relations,https://www.ibm.com/investor,200,https://www.ibm.com/investor,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,41,0,0
IBM,IBM,earnings_results_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,200,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,42,0,0
INTC,Intel,company_news_archive,https://www.intel.com/content/www/us/en/newsroom/home.html,200,https://www.intel.com/content/www/us/en/newsroom/home.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,43,0,0
INTC,Intel,press_releases_archive,https://www.intc.com/news-events/press-releases,200,https://www.intc.com/news-events/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,44,0,0
INTC,Intel,earnings_results_archive,https://www.intc.com/news-events/press-releases?category=financial,200,https://www.intc.com/news-events/press-releases?category=financial,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,45,0,0
JNJ,Johnson & Johnson,company_news_archive,https://www.jnj.com/media-center/press-releases,200,https://www.jnj.com/media-center/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,46,0,0
JNJ,Johnson & Johnson,press_releases_archive,https://www.jnj.com/media-center/press-releases/financial,200,https://www.jnj.com/media-center/press-releases/financial,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,47,0,0
JNJ,Johnson & Johnson,earnings_results_archive,https://investor.jnj.com/financials/quarterly-results,200,https://investor.jnj.com/financials/quarterly-results,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,5,5,0,0,48,0,5
JPM,JPMorgan Chase,company_news_archive,https://www.jpmorganchase.com/newsroom/press-releases,200,https://www.jpmorganchase.com/newsroom/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,49,0,0
JPM,JPMorgan Chase,investor_relations,https://www.jpmorganchase.com/ir,200,https://www.jpmorganchase.com/ir,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,50,0,0
JPM,JPMorgan Chase,earnings_results_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,200,https://www.jpmorganchase.com/ir/quarterly-earnings,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,51,0,0
KO,Coca-Cola,company_news_archive,https://www.coca-colacompany.com/media-center,200,https://www.coca-colacompany.com/media-center,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,52,0,0
KO,Coca-Cola,press_releases_archive,https://investors.coca-colacompany.com/news-events/press-releases,200,https://investors.coca-colacompany.com/news-events/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,53,0,0
KO,Coca-Cola,earnings_results_archive,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,200,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,54,0,0
MCD,McDonald's,company_news_archive,https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html,200,https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,55,0,0
MCD,McDonald's,press_releases_archive,https://investor.mcdonalds.com/news-releases,200,https://investor.mcdonalds.com/news-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,56,0,0
MCD,McDonald's,earnings_results_archive,https://investor.mcdonalds.com/financial-information/quarterly-results/default.aspx,200,https://investor.mcdonalds.com/financial-information/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,57,0,0
MMM,3M,company_news_archive,https://news.3m.com/press-releases,200,https://news.3m.com/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,58,0,0
MMM,3M,press_releases_archive,https://investors.3m.com/news-events/press-releases,200,https://investors.3m.com/news-events/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,59,0,0
MMM,3M,earnings_results_archive,https://investors.3m.com/financials/quarterly-earnings,200,https://investors.3m.com/financials/quarterly-earnings,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,60,0,0
MRK,Merck,company_news_archive,https://www.merck.com/media/news/,200,https://www.merck.com/media/news/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,61,0,0
MRK,Merck,press_releases_archive,https://www.merck.com/newsroom/,200,https://www.merck.com/newsroom/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,62,0,0
MRK,Merck,earnings_results_archive,https://www.merck.com/investor-relations/,200,https://www.merck.com/investor-relations/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,63,0,0
MSFT,Microsoft,company_news_archive,https://news.microsoft.com/source/,200,https://news.microsoft.com/source/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,64,0,0
MSFT,Microsoft,press_releases_archive,https://news.microsoft.com/source/tag/press-releases/,200,https://news.microsoft.com/source/tag/press-releases/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,65,0,0
MSFT,Microsoft,earnings_results_archive,https://www.microsoft.com/en-us/Investor/earnings,200,https://www.microsoft.com/en-us/Investor/earnings,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,66,0,0
NKE,Nike,company_news_archive,https://news.nike.com/,200,https://news.nike.com/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,67,0,0
NKE,Nike,press_releases_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/default.aspx,200,https://investors.nike.com/investors/news-events-and-reports/investor-news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,68,1,0
NKE,Nike,earnings_results_archive,https://investors.nike.com/investors/news-events-and-reports/quarterly-earnings/default.aspx,200,https://investors.nike.com/investors/news-events-and-reports/quarterly-earnings/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,69,1,1
PG,Procter & Gamble,company_news_archive,https://news.pg.com/news-releases,200,https://news.pg.com/news-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,70,0,0
PG,Procter & Gamble,press_releases_archive,https://www.pginvestor.com/news/default.aspx,200,https://www.pginvestor.com/news/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,71,0,0
PG,Procter & Gamble,earnings_results_archive,https://www.pginvestor.com/news/default.aspx?category=financial,200,https://www.pginvestor.com/news/default.aspx?category=financial,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,72,0,0
TRV,Travelers,press_releases_archive,https://investor.travelers.com/newsroom/press-releases/default.aspx,200,https://investor.travelers.com/newsroom/press-releases/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,73,0,5
TRV,Travelers,company_news_archive,https://investor.travelers.com/newsroom/newsroom-overview/default.aspx,200,https://investor.travelers.com/newsroom/newsroom-overview/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,74,0,5
TRV,Travelers,earnings_results_archive,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,200,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,75,0,5
UNH,UnitedHealth Group,press_releases_archive,https://www.unitedhealthgroup.com/newsroom/press-releases.html,200,https://www.unitedhealthgroup.com/newsroom/press-releases.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,76,0,0
UNH,UnitedHealth Group,investor_relations,https://www.unitedhealthgroup.com/investors.html,200,https://www.unitedhealthgroup.com/investors.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,77,0,0
UNH,UnitedHealth Group,earnings_results_archive,https://www.unitedhealthgroup.com/investors/financial-reports.html,200,https://www.unitedhealthgroup.com/investors/financial-reports.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,78,0,0
V,Visa,company_news_archive,https://corporate.visa.com/en/sites/visa-perspectives/newsroom.html,200,https://corporate.visa.com/en/sites/visa-perspectives/newsroom.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,79,0,0
V,Visa,press_releases_archive,https://usa.visa.com/about-visa/newsroom/press-releases.html,200,https://usa.visa.com/about-visa/newsroom/press-releases.html,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,80,0,0
V,Visa,earnings_results_archive,https://investor.visa.com/financial-information/quarterly-earnings/default.aspx,200,https://investor.visa.com/financial-information/quarterly-earnings/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,5,0,0,81,1,0
VZ,Verizon,company_news_archive,https://www.verizon.com/about/news,200,https://www.verizon.com/about/news,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,82,0,0
VZ,Verizon,press_releases_archive,https://www.verizon.com/about/news/press-releases,200,https://www.verizon.com/about/news/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,83,0,0
VZ,Verizon,earnings_results_archive,https://www.verizon.com/about/investors/quarterly-reports,200,https://www.verizon.com/about/investors/quarterly-reports,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,84,0,0
WMT,Walmart,company_news_archive,https://corporate.walmart.com/news,200,https://corporate.walmart.com/news,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,85,0,0
WMT,Walmart,press_releases_archive,https://stock.walmart.com/investors/default.aspx,200,https://stock.walmart.com/investors/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,0,0,0,86,0,0
WMT,Walmart,earnings_results_archive,https://stock.walmart.com/financial-information/financial-results,200,https://stock.walmart.com/financial-information/financial-results,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,0,0,0,87,0,0
