ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority
AXP,American Express,company_news_archive,https://about.americanexpress.com/newsroom/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
BA,Boeing,press_releases_archive,https://investors.boeing.com/investors/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
BA,Boeing,company_news_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
BA,Boeing,earnings_results_archive,https://investors.boeing.com/investors/financial-reports/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CAT,Caterpillar,press_releases_archive,https://investors.caterpillar.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CAT,Caterpillar,company_news_archive,https://www.caterpillar.com/en/news/corporate-press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
CAT,Caterpillar,earnings_results_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CRM,Salesforce,investor_relations,https://investor.salesforce.com/overview/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
CVX,Chevron,company_news_archive,https://chevroncorp.gcs-web.com/news-releases,browser_or_api_needed,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,200,high_vendor_api_adapter
CVX,Chevron,press_releases_archive,https://chevroncorp.gcs-web.com/news-releases,browser_or_api_needed,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,200,high_vendor_api_adapter
CVX,Chevron,investor_relations,https://chevroncorp.gcs-web.com/,browser_or_api_needed,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,200,high_vendor_api_adapter
DIS,Walt Disney,company_news_archive,https://thewaltdisneycompany.com/news/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
DIS,Walt Disney,investor_relations,https://thewaltdisneycompany.com/investor-relations/,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
DIS,Walt Disney,earnings_results_archive,https://thewaltdisneycompany.com/investor-relations/#financials,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
GS,Goldman Sachs,company_news_archive,https://www.goldmansachs.com/pressroom,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
GS,Goldman Sachs,press_releases_archive,https://www.goldmansachs.com/pressroom/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
GS,Goldman Sachs,earnings_results_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HD,Home Depot,press_releases_archive,https://ir.homedepot.com/news-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HD,Home Depot,company_news_archive,https://corporate.homedepot.com/page/newsroom,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HD,Home Depot,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HON,Honeywell,press_releases_archive,https://www.honeywell.com/newsroom/pressreleases/?page=1,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HON,Honeywell,company_news_archive,https://www.honeywell.com/us/en/news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
HON,Honeywell,earnings_results_archive,https://honeywell.gcs-web.com/financial-information/quarterly-results,browser_or_api_needed,gcs_web,Use GCS/Web year/category pagination; validate detail pages after URL discovery.,0,0,200,high_vendor_api_adapter
IBM,IBM,company_news_archive,https://newsroom.ibm.com/announcements,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
IBM,IBM,investor_relations,https://www.ibm.com/investor,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
IBM,IBM,earnings_results_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
INTC,Intel,company_news_archive,https://www.intel.com/content/www/us/en/newsroom/home.html,fail,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
INTC,Intel,press_releases_archive,https://www.intc.com/news-events/press-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
INTC,Intel,earnings_results_archive,https://www.intc.com/news-events/press-releases?category=financial,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JNJ,Johnson & Johnson,company_news_archive,https://www.jnj.com/media-center/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JNJ,Johnson & Johnson,press_releases_archive,https://www.jnj.com/media-center/press-releases/financial,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JNJ,Johnson & Johnson,earnings_results_archive,https://investor.jnj.com/financials/quarterly-results,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,5,200,medium_source_specific_adapter
JPM,JPMorgan Chase,company_news_archive,https://www.jpmorganchase.com/newsroom/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JPM,JPMorgan Chase,investor_relations,https://www.jpmorganchase.com/ir,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
JPM,JPMorgan Chase,earnings_results_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
KO,Coca-Cola,company_news_archive,https://www.coca-colacompany.com/media-center,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
KO,Coca-Cola,press_releases_archive,https://investors.coca-colacompany.com/news-events/press-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
KO,Coca-Cola,earnings_results_archive,https://investors.coca-colacompany.com/news-events/press-releases?category=financial,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MCD,McDonald's,company_news_archive,https://corporate.mcdonalds.com/corpmcd/en-us/CorpNewsroom.html,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MCD,McDonald's,press_releases_archive,https://investor.mcdonalds.com/news-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MCD,McDonald's,earnings_results_archive,https://investor.mcdonalds.com/financial-information/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
MMM,3M,company_news_archive,https://news.3m.com/press-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MMM,3M,press_releases_archive,https://investors.3m.com/news-events/press-releases,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MMM,3M,earnings_results_archive,https://investors.3m.com/financials/quarterly-earnings,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MRK,Merck,company_news_archive,https://www.merck.com/media/news/,blocked_or_forbidden,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MRK,Merck,press_releases_archive,https://www.merck.com/newsroom/,blocked_or_forbidden,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MRK,Merck,earnings_results_archive,https://www.merck.com/investor-relations/,blocked_or_forbidden,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MSFT,Microsoft,company_news_archive,https://news.microsoft.com/source/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MSFT,Microsoft,press_releases_archive,https://news.microsoft.com/source/tag/press-releases/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
MSFT,Microsoft,earnings_results_archive,https://www.microsoft.com/en-us/Investor/earnings,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
NKE,Nike,company_news_archive,https://news.nike.com/,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
NKE,Nike,press_releases_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
NKE,Nike,earnings_results_archive,https://investors.nike.com/investors/news-events-and-reports/quarterly-earnings/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
PG,Procter & Gamble,company_news_archive,https://news.pg.com/news-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
PG,Procter & Gamble,press_releases_archive,https://www.pginvestor.com/news/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
PG,Procter & Gamble,earnings_results_archive,https://www.pginvestor.com/news/default.aspx?category=financial,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
TRV,Travelers,press_releases_archive,https://investor.travelers.com/newsroom/press-releases/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,200,high_vendor_api_adapter
TRV,Travelers,company_news_archive,https://investor.travelers.com/newsroom/newsroom-overview/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,200,high_vendor_api_adapter
TRV,Travelers,earnings_results_archive,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,5,200,high_vendor_api_adapter
UNH,UnitedHealth Group,press_releases_archive,https://www.unitedhealthgroup.com/newsroom/press-releases.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
UNH,UnitedHealth Group,investor_relations,https://www.unitedhealthgroup.com/investors.html,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
UNH,UnitedHealth Group,earnings_results_archive,https://www.unitedhealthgroup.com/investors/financial-reports.html,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
V,Visa,company_news_archive,https://corporate.visa.com/en/sites/visa-perspectives/newsroom.html,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
V,Visa,press_releases_archive,https://usa.visa.com/about-visa/newsroom/press-releases.html,blocked_or_forbidden,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
V,Visa,earnings_results_archive,https://investor.visa.com/financial-information/quarterly-earnings/default.aspx,browser_or_api_needed,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,1,5,200,low_already_has_generic_yield
VZ,Verizon,company_news_archive,https://www.verizon.com/about/news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
VZ,Verizon,press_releases_archive,https://www.verizon.com/about/news/press-releases,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
VZ,Verizon,earnings_results_archive,https://www.verizon.com/about/investors/quarterly-reports,browser_or_api_needed,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
WMT,Walmart,company_news_archive,https://corporate.walmart.com/news,crawler_ready,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
WMT,Walmart,press_releases_archive,https://stock.walmart.com/investors/default.aspx,fail,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,0,0,200,high_vendor_api_adapter
WMT,Walmart,earnings_results_archive,https://stock.walmart.com/financial-information/financial-results,fail,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,0,0,200,medium_source_specific_adapter
