ticker,company,source_type,url,coverage_note,has_dates,has_full_text,needs_js,notes,canonical_url,is_new_vs_previous,http_status,final_url,content_type,title_hint,fetch_error,vendor_profile,q4_years_2010_2023,q4_has_train,q4_has_oos,q4_year_endpoint_status,q4_error,likely_value,review_note
AMZN,Amazon.com Inc.,ir_press_releases,https://ir.aboutamazon.com/news-release/default.aspx,Official Amazon IR news-release archive with dated full release pages.,yes,yes,yes,Primary official source for Amazon financial/company releases.,https://ir.aboutamazon.com/news-release/default.aspx,no,403,https://ir.aboutamazon.com/news-release/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
AMZN,Amazon.com Inc.,quarterly_results,https://ir.aboutamazon.com/quarterly-results/default.aspx,Official Amazon quarterly results archive; includes dated earnings releases and financial materials.,yes,yes,yes,Best Amazon source for earnings releases within Train and OOS windows.,https://ir.aboutamazon.com/quarterly-results/default.aspx,no,403,https://ir.aboutamazon.com/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
AXP,American Express Company,annual_reports_proxy,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,Official AXP annual reports and proxy statements; visible archive covers 2014 onward and likely more through filters.,yes,yes,yes,Good for annual full-text reporting; use SEC page for earlier 2010-2013 annual/quarterly coverage if annual page is incomplete.,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,yes,200,https://ir.americanexpress.com/financials/annual-reports-and-proxy-statements/default.aspx,text/html; charset=utf-8,American Express Company - Financials - Annual Reports &amp; Proxy Statements,,q4_or_q4_like,2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
AXP,American Express Company,earnings_sec_filings,https://ir.americanexpress.com/financials/earnings-and-sec-filings/default.aspx,Official AXP earnings and SEC filings page with date/type filters and full filing documents.,yes,yes,yes,Use filings and earnings release details for Train/OOS coverage.,https://ir.americanexpress.com/financials/earnings-and-sec-filings/default.aspx,yes,200,https://ir.americanexpress.com/financials/earnings-and-sec-filings/default.aspx,text/html; charset=utf-8,American Express Company - Financials - Earnings &amp; SEC Filings,,q4_or_q4_like,2018|2019|2020|2021|2022|2023,yes,yes,200,,medium_duplicate_sec,"Official filings hub, but SEC EDGAR is already cleaner for PIT filing ingestion."
AXP,American Express Company,investor_events,https://ir.americanexpress.com/events/default.aspx,"Official AXP events archive with dated earnings calls, investor days and presentation links.",yes,yes,yes,Past events include older investor days and earnings-call materials.,https://ir.americanexpress.com/events/default.aspx,yes,200,https://ir.americanexpress.com/events/default.aspx,text/html; charset=utf-8,American Express Company - Events,,q4_or_q4_like,2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
AXP,American Express Company,ir_news_archive,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,Official American Express IR news archive with dated full release pages.,yes,yes,yes,Primary official news/earnings-release archive.,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,yes,200,https://ir.americanexpress.com/news/investor-relations-news/default.aspx,text/html; charset=utf-8,American Express Company - News - Investor Relations News,,q4_or_q4_like,2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
BA,The Boeing Company,company_newsroom_archive,https://boeing.mediaroom.com/news-releases-statements,Official Boeing MediaRoom news-release archive with dated release pages and older paginated history.,yes,yes,no,Best Boeing source for long-history press releases.,https://boeing.mediaroom.com/news-releases-statements,no,200,https://boeing.mediaroom.com/news-releases-statements,text/html; charset=UTF-8,News Releases | Boeing Newsroom,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
BA,The Boeing Company,events_presentations,https://investors.boeing.com/investors/events-presentations/,Official Boeing IR events and presentations archive with dated investor-event materials.,yes,yes,yes,Use for presentations/transcripts; may need JS for archive filtering.,https://investors.boeing.com/investors/events-presentations/,yes,200,https://investors.boeing.com/investors/events-presentations/,text/html; charset=utf-8,Boeing Company - Investors - Events &amp; Presentations,,q4_or_q4_like,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
BA,The Boeing Company,financial_reports_archive,https://investors.boeing.com/investors/reports/,Official Boeing financial reports archive for annual reports and quarterly earnings materials.,yes,yes,yes,Useful for full annual/quarterly documents in the Train/OOS windows.,https://investors.boeing.com/investors/reports/,yes,200,https://investors.boeing.com/investors/reports/,text/html; charset=utf-8,Boeing Company - Investors - Reports,,q4_or_q4_like,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
BA,The Boeing Company,ir_news_archive,https://investors.boeing.com/investors/news/default.aspx,Official Boeing IR news archive with dated releases; Q4/IR provider year filters may require JS.,yes,yes,yes,Use for investor/financial press releases; detail pages carry dates/full text.,https://investors.boeing.com/investors/news/default.aspx,no,200,https://investors.boeing.com/investors/news/default.aspx,text/html; charset=utf-8,Boeing Company - Investors - News,,q4_or_q4_like,2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CAT,Caterpillar Inc.,company_press_release_archive,https://www.caterpillar.com/en/news/corporate-press-releases/h.html,Official Caterpillar corporate press-release archive with dated release pages; includes older historical pages.,yes,yes,no,Primary long-history company-news source.,https://www.caterpillar.com/en/news/corporate-press-releases/h.html,yes,403,https://www.caterpillar.com/en/news/corporate-press-releases/h.html,text/html,Access Denied,,fetch_problem,,no,no,403,,low_blocked_unless_feed,Blocked top page; useful only if alternate feed/API works.
CAT,Caterpillar Inc.,events_presentations,https://investors.caterpillar.com/events-presentations/default.aspx,Official Caterpillar events and presentations archive with year selector and dated presentation materials.,yes,yes,yes,Use presentation PDFs and event dates; Q4 archive filtering may require JS.,https://investors.caterpillar.com/events-presentations/default.aspx,yes,403,https://investors.caterpillar.com/events-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CAT,Caterpillar Inc.,ir_news_releases,https://investors.caterpillar.com/news/default.aspx,Official Caterpillar IR news area with dated release details.,yes,yes,yes,Use for investor/earnings news; detail pages are full text.,https://investors.caterpillar.com/news/default.aspx,no,403,https://www.caterpillar.com/en/news/,text/html,Access Denied,,q4_or_q4_like,2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CAT,Caterpillar Inc.,quarterly_results,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,Official Caterpillar quarterly results archive with dated earnings releases and materials.,yes,yes,yes,Best CAT source for earnings releases in Train/OOS windows.,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,no,403,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CRM,Salesforce Inc.,company_earnings_archive,https://www.salesforce.com/news/topics/earnings/,Official Salesforce News earnings-topic archive with dated earnings releases and related posts.,yes,yes,no,Useful direct earnings release feed on company domain.,https://www.salesforce.com/news/topics/earnings/,yes,200,https://www.salesforce.com/news/topics/earnings/?bc=OTH,text/html; charset=UTF-8,Earnings Archives - Salesforce,,wordpress,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
CRM,Salesforce Inc.,company_press_releases,https://www.salesforce.com/news/content-types/press-releases/,Official Salesforce News press-release archive with dated full-text company releases.,yes,yes,no,Primary Salesforce company-news source.,https://www.salesforce.com/news/content-types/press-releases/,yes,200,https://www.salesforce.com/news/content-types/press-releases/?bc=OTH,text/html; charset=UTF-8,Press Releases Archives - Salesforce,,wordpress,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
CRM,Salesforce Inc.,events_presentations,https://investor.salesforce.com/events-and-presentations/default.aspx,Official Salesforce IR events and presentations archive.,yes,yes,yes,Use for investor presentations/webcasts; filter by event date.,https://investor.salesforce.com/events-and-presentations/default.aspx,yes,403,https://investor.salesforce.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CRM,Salesforce Inc.,quarterly_results,https://investor.salesforce.com/financials/quarterly-results/,Official Salesforce IR quarterly results archive with dated earnings releases and materials.,yes,yes,yes,Best official earnings/results source; Q4/IR page may require JS for older years.,https://investor.salesforce.com/financials/quarterly-results/,yes,403,https://investor.salesforce.com/financials/quarterly-results/,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CSCO,Cisco Systems Inc.,company_press_releases,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,Official Cisco newsroom press-release archive with dated full release pages.,yes,yes,no,Primary Cisco company-news source.,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,no,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,text/html;charset=utf-8,Press Releases,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
CSCO,Cisco Systems Inc.,earnings_acquisitions_news,https://newsroom.cisco.com/earningsandacquisitions,Official Cisco newsroom page focused on earnings and acquisitions releases.,yes,yes,no,Useful topical feed for earnings/acquisition events.,https://newsroom.cisco.com/earningsandacquisitions,yes,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-room/earnings-and-acquisitions.html,text/html;charset=utf-8,Earnings and Acquisitions,,static_html_or_custom,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
CSCO,Cisco Systems Inc.,events_presentations,https://investor.cisco.com/events-and-presentations/default.aspx,Official Cisco IR events and presentations archive with dated materials.,yes,yes,yes,Use for investor events and earnings-call context.,https://investor.cisco.com/events-and-presentations/default.aspx,yes,403,https://investor.cisco.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CSCO,Cisco Systems Inc.,quarterly_results,https://investor.cisco.com/financials/quarterly-results/default.aspx,"Official Cisco IR quarterly results archive with dated earnings releases, slides and prepared remarks.",yes,yes,yes,Best Cisco source for financial-result releases in Train/OOS windows.,https://investor.cisco.com/financials/quarterly-results/default.aspx,no,403,https://investor.cisco.com/financials/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
CVX,Chevron Corporation,company_newsroom_archive,https://www.chevron.com/newsroom/archive,Official Chevron newsroom archive with dated company releases and articles.,yes,yes,no,Primary company-domain news source.,https://www.chevron.com/newsroom/archive,yes,403,https://www.chevron.com/newsroom/archive,text/html,Service unavailable,,fetch_problem,,no,no,403,,low_blocked_unless_feed,Blocked top page; useful only if alternate feed/API works.
CVX,Chevron Corporation,events_presentations,https://www.chevron.com/investors/events-presentations,Official Chevron investors events and presentations page with dated materials.,yes,yes,no,Use presentation and event dates; official company-domain page.,https://www.chevron.com/investors/events-presentations,yes,403,https://www.chevron.com/investors/events-presentations,text/html,Service unavailable,,fetch_problem,,no,no,403,,low_blocked_unless_feed,Blocked top page; useful only if alternate feed/API works.
CVX,Chevron Corporation,ir_press_releases,https://chevroncorp.gcs-web.com/news-releases,Official Chevron IR provider news-release archive with year filters; visible history reaches at least 2012.,yes,yes,yes,Primary investor/financial release source; use SEC/annual docs for 2010-2011 gaps if present.,https://chevroncorp.gcs-web.com/news-releases,no,,,,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=8)",gcs_web,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
CVX,Chevron Corporation,quarterly_results,https://chevroncorp.gcs-web.com/financial-information/quarterly-results,Official Chevron quarterly results archive with earnings releases and supplemental materials.,yes,yes,yes,Best source for earnings releases around Train/OOS split.,https://chevroncorp.gcs-web.com/financial-information/quarterly-results,yes,,,,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=8)",gcs_web,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
DIS,The Walt Disney Company,company_press_releases_archive,https://thewaltdisneycompany.com/press-releases/,Official Disney corporate press-release archive with dated full release pages.,yes,yes,no,Primary Disney company-news source.,https://thewaltdisneycompany.com/press-releases/,yes,200,https://thewaltdisneycompany.com/press-releases/,text/html; charset=UTF-8,Press Release Archives | The Walt Disney Company,,q4_or_q4_like,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
DIS,The Walt Disney Company,events_presentations,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,Official Disney IR events and presentations archive with dated materials.,yes,yes,yes,Use for presentations/webcasts; filter by event date.,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,yes,403,https://investors.thewaltdisneycompany.com/events-and-presentations/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
DIS,The Walt Disney Company,ir_news_archive,https://investors.thewaltdisneycompany.com/news/default.aspx,Official Disney IR news archive with dated investor releases.,yes,yes,yes,Use for earnings/dividend/investor-specific releases; Q4 page may require JS for archive filters.,https://investors.thewaltdisneycompany.com/news/default.aspx,yes,200,https://investors.thewaltdisneycompany.com/news/default.aspx,text/html; charset=utf-8,The Walt Disney Company - News,,q4_or_q4_like,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
DIS,The Walt Disney Company,quarterly_results,https://investors.thewaltdisneycompany.com/financials/quarterly-results/default.aspx,Official Disney quarterly results archive with earnings releases and financial materials.,yes,yes,yes,Best Disney earnings-results source.,https://investors.thewaltdisneycompany.com/financials/quarterly-results/default.aspx,yes,403,https://investors.thewaltdisneycompany.com/financials/quarterly-results/default.aspx,text/html; charset=UTF-8,Just a moment...,,cloudflare_challenge,2015|2016|2017|2018|2019|2020|2021|2022|2023,yes,yes,200,,high_q4_feed,Public Q4 feed exposes dated archive years; crawler can ingest via q4 adapter.
GS,The Goldman Sachs Group Inc.,annual_reports,https://www.goldmansachs.com/investor-relations/financials/annual-reports,Official Goldman Sachs annual reports archive with full annual-report documents.,yes,yes,no,Long-history annual-report source; useful for 2010-era coverage.,https://www.goldmansachs.com/investor-relations/financials/annual-reports,yes,200,https://www.goldmansachs.com/investor-relations/financials/annual-reports,text/html; charset=UTF-8,Annual Reports | Goldman Sachs,,static_html_or_custom,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
GS,The Goldman Sachs Group Inc.,investor_presentations,https://www.goldmansachs.com/investor-relations/presentations,Official Goldman Sachs investor presentations archive with dated materials.,yes,yes,no,Use for investor day/conference materials and earnings context.,https://www.goldmansachs.com/investor-relations/presentations,yes,200,https://www.goldmansachs.com/investor-relations/presentations,text/html; charset=UTF-8,Presentations | Goldman Sachs,,static_html_or_custom,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
GS,The Goldman Sachs Group Inc.,pressroom_archive,https://www.goldmansachs.com/pressroom,Official Goldman Sachs pressroom archive with dated releases and statements.,yes,yes,no,Primary company-news source.,https://www.goldmansachs.com/pressroom,no,200,https://www.goldmansachs.com/pressroom,text/html; charset=UTF-8,Pressroom | Goldman Sachs,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
GS,The Goldman Sachs Group Inc.,quarterly_earnings_releases,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,Official Goldman Sachs quarterly earnings releases archive with dated full results releases.,yes,yes,no,Best GS earnings release source for Train/OOS windows.,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,no,200,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,text/html; charset=UTF-8,Quarterly Earnings Releases | Goldman Sachs,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
HD,The Home Depot Inc.,annual_reports_archive,https://ir.homedepot.com/financial-reports/annual-reports/archive,Official Home Depot annual reports archive with full annual reports.,yes,yes,no,Full annual-report documents; useful back through 2010-era coverage.,https://ir.homedepot.com/financial-reports/annual-reports/archive,yes,200,https://ir.homedepot.com/financial-reports/annual-reports/archive,text/html; charset=utf-8,Annual Reports Archive | The Home Depot,,static_html_or_custom,,no,no,403,,high_static_candidate,Accessible without JS; useful for static archive discovery.
HD,The Home Depot Inc.,events_presentations,https://ir.homedepot.com/events-and-presentations,Official Home Depot IR events and presentations page with dated materials.,yes,yes,yes,Use for investor events and presentation PDFs.,https://ir.homedepot.com/events-and-presentations,yes,200,https://ir.homedepot.com/events-and-presentations,text/html; charset=utf-8,Events & Presentations | The Home Depot,,static_html_or_custom,,no,no,403,,medium_browser_or_vendor,Accessible but likely JS/vendor page; useful if adapter exists.
HD,The Home Depot Inc.,ir_news_releases_archive,https://ir.homedepot.com/news-releases/archive,Official Home Depot IR news-release archive; archive includes links back to 2010.,yes,yes,no,Strong long-history official release archive.,https://ir.homedepot.com/news-releases/archive,yes,200,https://ir.homedepot.com/news-releases/archive,text/html; charset=utf-8,News Releases archive | The Home Depot,,static_html_or_custom,,no,no,403,,high_static_candidate,Accessible without JS; useful for static archive discovery.
HD,The Home Depot Inc.,quarterly_earnings_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,Official Home Depot quarterly earnings archive with dated releases and materials.,yes,yes,no,Best HD earnings-results source for Train/OOS split.,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,yes,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/archive,text/html; charset=utf-8,Quarterly Earnings Archive | The Home Depot,,static_html_or_custom,,no,no,403,,high_static_candidate,Accessible without JS; useful for static archive discovery.
HON,Honeywell International Inc.,investor_events,https://investor.honeywell.com/events-and-presentations/events,Official Honeywell investor events archive with dated event pages.,yes,yes,yes,Use event pages and webcast dates for split alignment.,https://investor.honeywell.com/events-and-presentations/events,yes,,,,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
HON,Honeywell International Inc.,investor_presentations,https://investor.honeywell.com/events-and-presentations/presentations,Official Honeywell investor presentations archive; year filters include older presentation history.,yes,yes,yes,Use presentation PDFs/full text where available.,https://investor.honeywell.com/events-and-presentations/presentations,yes,200,https://investor.honeywell.com/events-and-presentations/presentations,text/html; charset=UTF-8,Presentations | Honeywell International Inc.,,gcs_web,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",medium_browser_or_vendor,Accessible but likely JS/vendor page; useful if adapter exists.
HON,Honeywell International Inc.,ir_press_releases,https://investor.honeywell.com/news-releases,Official Honeywell IR news-release archive with dated full release pages.,yes,yes,yes,Primary Honeywell investor/company release source.,https://investor.honeywell.com/news-releases,yes,,,,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",fetch_problem,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",low_recheck,Fetch failed or unstable.
HON,Honeywell International Inc.,quarterly_results,https://investor.honeywell.com/financial-information/quarterly-results,Official Honeywell quarterly results archive with earnings releases and materials.,yes,yes,yes,Best Honeywell earnings-results source for Train/OOS windows.,https://investor.honeywell.com/financial-information/quarterly-results,yes,200,https://investor.honeywell.com/financial-information/quarterly-results,text/html; charset=UTF-8,Quarterly Results | Honeywell International Inc.,,gcs_web,,no,no,,"ReadTimeout: HTTPSConnectionPool(host='investor.honeywell.com', port=443): Read timed out. (read timeout=8)",medium_browser_or_vendor,Accessible but likely JS/vendor page; useful if adapter exists.
IBM,International Business Machines Corporation,company_newsroom_announcements,https://newsroom.ibm.com/announcements,Official IBM newsroom announcements archive with dated full-text release pages.,yes,yes,no,Primary IBM company-news archive.,https://newsroom.ibm.com/announcements,no,200,https://newsroom.ibm.com/announcements,text/html; charset=UTF-8,IBM - Announcements,,static_html_or_custom,,no,no,404,,medium_static_duplicate,Accessible without JS; useful for static archive discovery.
IBM,International Business Machines Corporation,financial_reporting,https://www.ibm.com/investor/financial-reporting,"Official IBM financial reporting hub with annual reports, quarterly earnings and filing links.",yes,yes,no,Use as financial-reporting hub and fallback for older documents.,https://www.ibm.com/investor/financial-reporting,yes,200,https://www.ibm.com/investor/financial-reporting,text/html;charset=utf-8,Financial Reporting - Investor Relations | IBM,,static_html_or_custom,,no,no,404,,high_static_candidate,Accessible without JS; useful for static archive discovery.
